shipment_id,order_id,carrier_name,tracking_number,shipping_method,shipping_status,shipping_date,estimated_delivery_date,actual_delivery_date,shipping_address_id,shipping_cost,weight_kg
ship_000051,ord_722544,UPS,TRK882426139,express,in_transit,2026-04-14 23:21:12,2026-04-18 23:21:12,2026-04-18 23:21:12,addr_3643,44.62,19.72
ship_000052,ord_703922,FedEx,TRK690811231,overnight,shipped,2026-04-20 06:17:24,2026-04-24 06:17:24,,addr_1019,5.56,10.2
ship_000053,ord_215146,DHL,TRK953156776,economy,returned,2026-04-22 04:32:51,2026-04-25 04:32:51,,addr_7353,7.45,3.51
ship_000054,ord_315066,DHL,TRK193963625,standard,shipped,2026-04-11 21:23:55,2026-04-18 21:23:55,2026-04-18 21:23:55,addr_4606,22.85,17.06
ship_000055,ord_858879,USPS,TRK344411478,express,returned,2026-04-19 14:00:21,2026-04-25 14:00:21,2026-04-25 14:00:21,addr_4876,13.99,11.47
ship_000056,ord_797932,Aramex,TRK450164208,overnight,shipped,2026-04-20 08:34:15,2026-04-27 08:34:15,2026-04-27 08:34:15,addr_9216,24.48,17.51
ship_000057,ord_184151,FedEx,TRK714268285,standard,returned,2026-04-13 03:51:30,2026-04-19 03:51:30,2026-04-19 03:51:30,addr_1226,22.6,1.34
ship_000058,ord_735589,DHL,TRK579481781,express,pending_pickup,2026-04-12 14:32:44,2026-04-14 14:32:44,2026-04-14 14:32:44,addr_8706,13.5,3.35
ship_000059,ord_181916,Aramex,TRK697728383,overnight,shipped,2026-04-25 10:06:21,2026-05-02 10:06:21,,addr_5845,18.74,6.88
ship_000060,ord_238110,Aramex,TRK370922284,express,returned,2026-04-15 09:38:44,2026-04-22 09:38:44,,addr_3129,43.81,6.66
ship_000061,ord_612325,UPS,TRK234144503,overnight,shipped,2026-04-16 15:22:13,2026-04-23 15:22:13,2026-04-23 15:22:13,addr_6921,45.08,13.95
ship_000062,ord_551486,FedEx,TRK398797367,express,delivered,2026-04-07 05:55:37,2026-04-10 05:55:37,,addr_4593,23.88,12.9
ship_000063,ord_496151,UPS,TRK275338870,overnight,in_transit,2026-04-19 18:17:58,2026-04-26 18:17:58,2026-04-26 18:17:58,addr_3414,9.71,2.9
ship_000064,ord_620544,USPS,TRK489746438,standard,delivered,2026-04-14 20:03:24,2026-04-16 20:03:24,,addr_7247,14.21,1.4
ship_000065,ord_814560,USPS,TRK961378923,overnight,in_transit,2026-04-15 18:57:51,2026-04-20 18:57:51,2026-04-20 18:57:51,addr_7523,10.29,16.2
ship_000066,ord_402048,USPS,TRK777700545,express,delivered,2026-04-19 15:05:35,2026-04-21 15:05:35,2026-04-21 15:05:35,addr_3740,23.24,16.86
ship_000067,ord_695897,USPS,TRK758596542,overnight,returned,2026-04-20 12:33:36,2026-04-27 12:33:36,2026-04-27 12:33:36,addr_1486,26.53,19.82
ship_000068,ord_943128,DHL,TRK420532316,overnight,returned,2026-04-17 01:50:42,2026-04-22 01:50:42,2026-04-22 01:50:42,addr_3781,5.52,6.68
ship_000069,ord_938703,Aramex,TRK983469010,standard,in_transit,2026-04-21 23:41:13,2026-04-26 23:41:13,2026-04-26 23:41:13,addr_8716,18.43,1.25
ship_000070,ord_790666,UPS,TRK203086164,overnight,in_transit,2026-04-07 08:35:46,2026-04-11 08:35:46,2026-04-11 08:35:46,addr_8218,12.75,17.17
ship_000071,ord_259174,DHL,TRK262329120,standard,pending_pickup,2026-04-24 07:03:30,2026-04-30 07:03:30,,addr_9258,16.55,17.68
ship_000072,ord_768012,Aramex,TRK707155128,standard,returned,2026-04-20 19:24:19,2026-04-24 19:24:19,2026-04-24 19:24:19,addr_5356,18.74,19.65
ship_000073,ord_984549,Aramex,TRK519930266,overnight,shipped,2026-04-22 16:33:53,2026-04-29 16:33:53,2026-04-29 16:33:53,addr_6187,42.97,4.58
ship_000074,ord_932942,USPS,TRK876479735,standard,returned,2026-04-09 09:29:24,2026-04-11 09:29:24,,addr_7720,10.2,4.46
ship_000075,ord_453951,DHL,TRK444038270,economy,returned,2026-04-15 05:44:04,2026-04-17 05:44:04,2026-04-17 05:44:04,addr_7443,49.69,10.86
ship_000076,ord_159058,UPS,TRK149521723,overnight,shipped,2026-04-06 23:19:29,2026-04-10 23:19:29,2026-04-10 23:19:29,addr_2782,21.5,3.08
ship_000077,ord_562555,FedEx,TRK222391846,express,shipped,2026-04-24 09:37:51,2026-04-28 09:37:51,2026-04-28 09:37:51,addr_2804,32.22,14.15
ship_000078,ord_551840,Aramex,TRK535659529,express,in_transit,2026-04-12 10:40:52,2026-04-15 10:40:52,,addr_9164,29.77,11.79
ship_000079,ord_663446,FedEx,TRK739951599,standard,delivered,2026-04-15 11:25:36,2026-04-18 11:25:36,2026-04-18 11:25:36,addr_3210,12.07,14.79
ship_000080,ord_525806,UPS,TRK198221601,express,delivered,2026-04-08 01:03:03,2026-04-13 01:03:03,2026-04-13 01:03:03,addr_8759,26.41,16.56
ship_000081,ord_847107,UPS,TRK408177136,standard,pending_pickup,2026-04-08 20:55:43,2026-04-10 20:55:43,2026-04-10 20:55:43,addr_1252,7.79,13.49
ship_000082,ord_694854,DHL,TRK735238833,economy,pending_pickup,2026-04-20 17:41:56,2026-04-26 17:41:56,,addr_4557,28.77,19.89
ship_000083,ord_503093,Aramex,TRK105326828,express,shipped,2026-04-12 15:12:22,2026-04-18 15:12:22,2026-04-18 15:12:22,addr_8118,43.44,3.13
ship_000084,ord_526078,Aramex,TRK139818994,economy,pending_pickup,2026-04-21 23:43:47,2026-04-27 23:43:47,2026-04-27 23:43:47,addr_4571,18.48,2.63
ship_000085,ord_397973,FedEx,TRK715382562,standard,returned,2026-04-11 17:47:06,2026-04-15 17:47:06,2026-04-15 17:47:06,addr_7659,14.26,16.94
ship_000086,ord_769010,UPS,TRK793852291,express,delivered,2026-04-15 03:34:05,2026-04-22 03:34:05,2026-04-22 03:34:05,addr_1853,16.52,13.16
ship_000087,ord_132945,USPS,TRK869759847,express,shipped,2026-04-14 12:43:29,2026-04-17 12:43:29,2026-04-17 12:43:29,addr_7137,29.37,4.09
ship_000088,ord_421785,UPS,TRK525870325,overnight,returned,2026-04-23 08:06:57,2026-04-26 08:06:57,2026-04-26 08:06:57,addr_5008,27.86,9.78
ship_000089,ord_876161,USPS,TRK605695124,standard,in_transit,2026-04-15 09:15:57,2026-04-21 09:15:57,2026-04-21 09:15:57,addr_5886,23.02,16.36
ship_000090,ord_851900,DHL,TRK784353803,express,delivered,2026-04-11 20:59:12,2026-04-14 20:59:12,,addr_4400,13.91,19.04
ship_000091,ord_443651,USPS,TRK877769234,overnight,delivered,2026-04-15 21:47:52,2026-04-21 21:47:52,2026-04-21 21:47:52,addr_6107,37.91,17.94
ship_000092,ord_209163,UPS,TRK684474452,economy,shipped,2026-04-22 15:18:20,2026-04-25 15:18:20,2026-04-25 15:18:20,addr_9881,42.07,13.42
ship_000093,ord_466409,UPS,TRK528914399,economy,returned,2026-04-18 20:18:48,2026-04-21 20:18:48,2026-04-21 20:18:48,addr_3597,20.64,13.12
ship_000094,ord_788208,Aramex,TRK657210367,standard,delivered,2026-04-15 00:46:19,2026-04-17 00:46:19,,addr_9171,5.76,12.19
ship_000095,ord_300691,UPS,TRK904038803,express,delivered,2026-04-10 13:37:26,2026-04-16 13:37:26,2026-04-16 13:37:26,addr_3684,42.57,6.55
ship_000096,ord_126031,UPS,TRK343456798,express,delivered,2026-04-12 23:47:49,2026-04-19 23:47:49,2026-04-19 23:47:49,addr_5478,6.29,9.79
ship_000097,ord_633760,FedEx,TRK877339192,overnight,in_transit,2026-04-23 02:01:32,2026-04-30 02:01:32,2026-04-30 02:01:32,addr_9584,28.91,18.43
ship_000098,ord_711342,Aramex,TRK568933450,economy,in_transit,2026-04-19 01:34:25,2026-04-22 01:34:25,,addr_6079,45.07,18.1
ship_000099,ord_894643,DHL,TRK774451320,overnight,in_transit,2026-04-17 19:51:20,2026-04-20 19:51:20,2026-04-20 19:51:20,addr_4642,45.94,4.09
ship_000100,ord_486623,DHL,TRK607373926,overnight,shipped,2026-04-18 15:18:08,2026-04-24 15:18:08,2026-04-24 15:18:08,addr_8739,49.81,6.15
ship_000101,ord_106063,DHL,TRK123652825,overnight,returned,2026-04-19 16:11:08,2026-04-22 16:11:08,2026-04-22 16:11:08,addr_6204,27.31,12.93
ship_000102,ord_669411,Aramex,TRK320755582,overnight,returned,2026-04-22 00:31:57,2026-04-27 00:31:57,,addr_8020,31.72,6.72
ship_000103,ord_475703,UPS,TRK950130523,overnight,pending_pickup,2026-04-09 11:06:58,2026-04-15 11:06:58,2026-04-15 11:06:58,addr_5244,38.09,17.35
ship_000104,ord_962684,DHL,TRK670330832,standard,pending_pickup,2026-04-13 18:39:59,2026-04-19 18:39:59,,addr_7786,14.84,6.77
ship_000105,ord_891009,DHL,TRK181318232,overnight,shipped,2026-04-10 08:40:09,2026-04-17 08:40:09,,addr_7285,28.3,9.04
ship_000106,ord_135765,FedEx,TRK298779089,economy,shipped,2026-04-10 20:30:15,2026-04-14 20:30:15,2026-04-14 20:30:15,addr_8656,41.68,8.07
ship_000107,ord_594968,DHL,TRK486691020,economy,delivered,2026-04-21 21:04:04,2026-04-25 21:04:04,,addr_8837,32.16,17.61
ship_000108,ord_170261,USPS,TRK783210790,economy,delivered,2026-04-20 07:03:39,2026-04-27 07:03:39,2026-04-27 07:03:39,addr_1711,46.05,8.85
ship_000109,ord_207673,USPS,TRK661353533,economy,delivered,2026-04-11 14:39:09,2026-04-16 14:39:09,,addr_2700,43.75,12.94
ship_000110,ord_885510,FedEx,TRK144614142,express,in_transit,2026-04-15 17:35:46,2026-04-21 17:35:46,2026-04-21 17:35:46,addr_4693,49.11,6.43
ship_000111,ord_330577,Aramex,TRK384842101,standard,returned,2026-04-15 19:55:09,2026-04-21 19:55:09,2026-04-21 19:55:09,addr_3812,24.87,2.88
ship_000112,ord_324625,Aramex,TRK908784953,express,delivered,2026-04-14 07:18:26,2026-04-17 07:18:26,2026-04-17 07:18:26,addr_7898,23.76,17.77
ship_000113,ord_795670,USPS,TRK396389759,overnight,returned,2026-04-10 16:27:40,2026-04-16 16:27:40,2026-04-16 16:27:40,addr_9991,41.81,10.32
ship_000114,ord_344874,USPS,TRK958766709,standard,shipped,2026-04-11 23:40:01,2026-04-15 23:40:01,2026-04-15 23:40:01,addr_8269,23.79,12.72
ship_000115,ord_170832,UPS,TRK236670728,standard,pending_pickup,2026-04-24 23:04:22,2026-04-28 23:04:22,2026-04-28 23:04:22,addr_5987,30.4,13.09
ship_000116,ord_458525,FedEx,TRK678381093,overnight,shipped,2026-04-19 09:25:38,2026-04-22 09:25:38,2026-04-22 09:25:38,addr_2780,35.6,19.06
ship_000117,ord_218078,USPS,TRK438834088,standard,shipped,2026-04-06 06:00:32,2026-04-08 06:00:32,2026-04-08 06:00:32,addr_1319,8.94,0.56
ship_000118,ord_465741,UPS,TRK528588047,standard,returned,2026-04-09 05:47:37,2026-04-14 05:47:37,2026-04-14 05:47:37,addr_6052,14.67,16.88
ship_000119,ord_219778,USPS,TRK713077664,standard,pending_pickup,2026-04-12 16:21:27,2026-04-19 16:21:27,2026-04-19 16:21:27,addr_6034,48.33,10.38
ship_000120,ord_381039,FedEx,TRK156072136,standard,delivered,2026-04-20 04:38:20,2026-04-24 04:38:20,,addr_4121,28.07,2.02
ship_000121,ord_462368,USPS,TRK785402125,overnight,shipped,2026-04-15 02:54:51,2026-04-20 02:54:51,2026-04-20 02:54:51,addr_7063,13.01,1.64
ship_000122,ord_462811,DHL,TRK128016887,standard,returned,2026-04-24 19:04:25,2026-04-30 19:04:25,,addr_4253,19.53,12.7
ship_000123,ord_210951,UPS,TRK646984153,express,shipped,2026-04-22 18:23:55,2026-04-24 18:23:55,2026-04-24 18:23:55,addr_9954,6.61,17.31
ship_000124,ord_149654,UPS,TRK469000695,standard,pending_pickup,2026-04-15 05:38:13,2026-04-20 05:38:13,2026-04-20 05:38:13,addr_8859,47.43,12.67
ship_000125,ord_711376,UPS,TRK558085564,overnight,in_transit,2026-04-12 14:30:55,2026-04-18 14:30:55,2026-04-18 14:30:55,addr_5235,33.45,19.68
ship_000126,ord_673224,FedEx,TRK527507612,standard,pending_pickup,2026-04-23 00:07:50,2026-04-30 00:07:50,,addr_9393,12.68,1.78
ship_000127,ord_139647,USPS,TRK455996365,economy,shipped,2026-04-18 08:24:13,2026-04-25 08:24:13,2026-04-25 08:24:13,addr_9477,37.7,6.92
ship_000128,ord_612829,USPS,TRK125682992,express,returned,2026-04-24 04:40:38,2026-04-27 04:40:38,2026-04-27 04:40:38,addr_7636,6.56,8.56
ship_000129,ord_408866,FedEx,TRK721977285,standard,shipped,2026-04-06 01:25:44,2026-04-10 01:25:44,,addr_1920,10.81,1.53
ship_000130,ord_374103,FedEx,TRK123640479,standard,returned,2026-04-07 20:51:53,2026-04-14 20:51:53,,addr_6471,15.7,1.76
ship_000131,ord_986162,USPS,TRK496088843,economy,pending_pickup,2026-04-15 07:37:47,2026-04-19 07:37:47,,addr_6233,7.53,19.01
ship_000132,ord_600821,UPS,TRK557125522,standard,pending_pickup,2026-04-14 06:18:57,2026-04-19 06:18:57,2026-04-19 06:18:57,addr_6995,20.81,13.66
ship_000133,ord_279598,Aramex,TRK783820465,overnight,shipped,2026-04-21 09:41:34,2026-04-25 09:41:34,2026-04-25 09:41:34,addr_8146,21.73,7.57
ship_000134,ord_293839,FedEx,TRK922152602,overnight,returned,2026-04-19 19:08:06,2026-04-23 19:08:06,2026-04-23 19:08:06,addr_2273,45.98,17.41
ship_000135,ord_445285,USPS,TRK400369683,express,returned,2026-04-20 14:27:03,2026-04-27 14:27:03,2026-04-27 14:27:03,addr_9896,37.19,6.9
ship_000136,ord_851420,FedEx,TRK541575978,economy,shipped,2026-04-13 12:32:27,2026-04-16 12:32:27,2026-04-16 12:32:27,addr_7402,37.15,2.78
ship_000137,ord_868274,FedEx,TRK644370082,standard,delivered,2026-04-09 13:35:59,2026-04-11 13:35:59,2026-04-11 13:35:59,addr_6732,28.89,6.02
ship_000138,ord_119446,Aramex,TRK886595073,express,in_transit,2026-04-23 00:01:05,2026-04-28 00:01:05,2026-04-28 00:01:05,addr_5630,42.3,7.71
ship_000139,ord_115435,USPS,TRK145485859,standard,delivered,2026-04-18 15:34:11,2026-04-22 15:34:11,,addr_2999,30.46,11.61
ship_000140,ord_960288,FedEx,TRK447120730,overnight,shipped,2026-04-17 12:53:29,2026-04-21 12:53:29,2026-04-21 12:53:29,addr_1616,29.77,14.76
ship_000141,ord_789376,FedEx,TRK109227934,economy,returned,2026-04-23 10:56:38,2026-04-27 10:56:38,2026-04-27 10:56:38,addr_6362,41.36,15.25
ship_000142,ord_482776,USPS,TRK811841042,economy,pending_pickup,2026-04-08 18:38:13,2026-04-10 18:38:13,2026-04-10 18:38:13,addr_6619,18.83,19.1
ship_000143,ord_465501,USPS,TRK882076858,standard,delivered,2026-04-10 02:24:33,2026-04-13 02:24:33,2026-04-13 02:24:33,addr_1424,29.16,11.1
ship_000144,ord_518565,USPS,TRK690047226,express,delivered,2026-04-16 05:00:50,2026-04-22 05:00:50,2026-04-22 05:00:50,addr_4481,24.38,4.13
ship_000145,ord_947584,USPS,TRK861373662,overnight,delivered,2026-04-22 01:07:25,2026-04-28 01:07:25,2026-04-28 01:07:25,addr_4013,43.25,17.56
ship_000146,ord_652335,USPS,TRK664096443,standard,shipped,2026-04-22 02:03:46,2026-04-24 02:03:46,2026-04-24 02:03:46,addr_1841,26.73,12.49
ship_000147,ord_429997,Aramex,TRK863185823,economy,delivered,2026-04-20 12:35:42,2026-04-24 12:35:42,2026-04-24 12:35:42,addr_9986,23.61,11.09
ship_000148,ord_274620,Aramex,TRK553539037,economy,shipped,2026-04-12 20:04:46,2026-04-16 20:04:46,2026-04-16 20:04:46,addr_1614,30.55,7.28
ship_000149,ord_860168,Aramex,TRK957212117,standard,shipped,2026-04-18 20:14:18,2026-04-23 20:14:18,2026-04-23 20:14:18,addr_4431,36.55,9.21
ship_000150,ord_608370,UPS,TRK994083236,overnight,pending_pickup,2026-04-23 04:03:57,2026-04-26 04:03:57,2026-04-26 04:03:57,addr_8604,32.65,18.37
ship_000151,ord_480045,Aramex,TRK893341733,express,shipped,2026-04-09 15:37:56,2026-04-14 15:37:56,,addr_5696,36.35,9.85
ship_000152,ord_681896,UPS,TRK182053400,standard,returned,2026-04-17 06:01:57,2026-04-22 06:01:57,2026-04-22 06:01:57,addr_1388,39.71,1.22
ship_000153,ord_646478,DHL,TRK599828179,express,returned,2026-04-17 11:29:08,2026-04-23 11:29:08,2026-04-23 11:29:08,addr_5268,39.1,5.36
ship_000154,ord_338483,USPS,TRK776839352,express,returned,2026-04-06 20:22:53,2026-04-09 20:22:53,,addr_6379,33.92,12.25
ship_000155,ord_406305,UPS,TRK123830126,standard,pending_pickup,2026-04-24 12:09:42,2026-05-01 12:09:42,2026-05-01 12:09:42,addr_2159,45.93,15.99
ship_000156,ord_964321,Aramex,TRK321758914,economy,pending_pickup,2026-04-11 15:39:40,2026-04-17 15:39:40,2026-04-17 15:39:40,addr_6579,15.13,16.33
ship_000157,ord_832419,USPS,TRK216452454,express,shipped,2026-04-08 16:16:34,2026-04-13 16:16:34,2026-04-13 16:16:34,addr_5528,12.2,8.45
ship_000158,ord_867499,FedEx,TRK578388931,standard,delivered,2026-04-25 05:13:34,2026-04-30 05:13:34,2026-04-30 05:13:34,addr_8714,31.26,13.95
ship_000159,ord_459205,Aramex,TRK360557353,standard,in_transit,2026-04-09 20:36:19,2026-04-16 20:36:19,2026-04-16 20:36:19,addr_9418,13.38,2.04
ship_000160,ord_751418,FedEx,TRK519727975,overnight,returned,2026-04-21 19:45:56,2026-04-27 19:45:56,2026-04-27 19:45:56,addr_7872,19.57,12.05
ship_000161,ord_541035,Aramex,TRK231406904,standard,delivered,2026-04-25 03:08:11,2026-04-28 03:08:11,2026-04-28 03:08:11,addr_9359,29.28,16.46
ship_000162,ord_714545,FedEx,TRK592902255,overnight,returned,2026-04-14 21:54:56,2026-04-20 21:54:56,2026-04-20 21:54:56,addr_6357,37.58,15.84
ship_000163,ord_678478,FedEx,TRK129172486,overnight,delivered,2026-04-06 13:45:30,2026-04-12 13:45:30,2026-04-12 13:45:30,addr_1222,35.74,4.93
ship_000164,ord_628962,UPS,TRK169386665,express,pending_pickup,2026-04-17 22:30:41,2026-04-23 22:30:41,,addr_8077,44.65,13.76
ship_000165,ord_166234,USPS,TRK492584366,express,returned,2026-04-18 01:05:43,2026-04-21 01:05:43,,addr_1053,30.65,12.66
ship_000166,ord_821676,FedEx,TRK583279427,economy,delivered,2026-04-15 17:53:43,2026-04-22 17:53:43,2026-04-22 17:53:43,addr_1364,21.6,17.09
ship_000167,ord_636182,USPS,TRK729932352,express,delivered,2026-04-19 07:21:28,2026-04-25 07:21:28,2026-04-25 07:21:28,addr_9284,43.46,8.97
ship_000168,ord_773478,UPS,TRK573359577,economy,delivered,2026-04-22 16:50:28,2026-04-27 16:50:28,2026-04-27 16:50:28,addr_8172,38.29,2.01
ship_000169,ord_568020,Aramex,TRK745111618,express,delivered,2026-04-20 03:27:30,2026-04-24 03:27:30,,addr_6730,39.89,9.35
ship_000170,ord_736132,FedEx,TRK710364655,standard,shipped,2026-04-16 19:16:12,2026-04-22 19:16:12,2026-04-22 19:16:12,addr_2588,7.58,9.69
ship_000171,ord_365874,UPS,TRK782758249,standard,pending_pickup,2026-04-15 18:46:54,2026-04-17 18:46:54,2026-04-17 18:46:54,addr_7088,48.92,6.93
