event_id,customer_id,session_id,event_type,event_timestamp,page_url,product_id,category_id,referrer_source,device_type,user_agent,ip_address
evt_000018,cust_84768,sess_fe16663b,purchase,2026-04-22 14:51:39,blog/explore/search,prod_3371,cat_beauty,instagram,mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_2 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/49.0.897.0 Mobile/79L126 Safari/536.0",96.196.125.101
evt_000019,cust_40416,sess_11b3c11a,remove_from_cart,2026-04-08 17:26:15,app/tag/blog,,,twitter,tablet,Opera/8.76.(X11; Linux i686; se-NO) Presto/2.9.189 Version/12.00,74.0.8.221
evt_000020,cust_34665,sess_d6d902cc,product_view,2026-04-24 16:08:39,app/tag/blog,prod_8035,cat_clothing,facebook,tablet,"Mozilla/5.0 (iPad; CPU iPad OS 2_2_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/11.1t1876.0 Mobile/41I574 Safari/535.1",12.204.184.108
evt_000021,cust_12431,sess_0ee5b451,product_view,2026-04-25 04:52:07,app/tag/blog,prod_4618,cat_sports,google,mobile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_9 rv:5.0; ar-KM) AppleWebKit/533.11.1 (KHTML, like Gecko) Version/5.1 Safari/533.11.1",39.111.36.246
evt_000022,cust_17413,sess_96f457bb,purchase,2026-04-10 06:06:04,explore/list/app,prod_9125,cat_sports,instagram,desktop,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/4.0),117.117.49.2
evt_000023,cust_79727,sess_14c438c5,remove_from_cart,2026-04-19 10:18:51,search/categories/tag,,,google,desktop,Opera/9.95.(Windows NT 5.01; mai-IN) Presto/2.9.160 Version/12.00,53.107.148.242
evt_000024,cust_65526,sess_7b98dce5,product_view,2026-04-21 05:44:25,search/categories/tag,prod_7969,cat_home,google,mobile,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/19.0.865.0 Safari/533.1",160.155.67.171
evt_000025,cust_86370,sess_d9296d29,product_view,2026-04-12 04:39:26,tags/blog,prod_8233,cat_home,google,mobile,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/30.0.896.0 Safari/534.1",208.89.30.192
evt_000026,cust_99273,sess_4e24a5c6,checkout_start,2026-04-07 05:30:23,app/tag/blog,,,email,tablet,Opera/9.13.(Windows NT 5.0; ti-ER) Presto/2.9.179 Version/12.00,160.227.160.183
evt_000027,cust_51473,sess_183c6792,purchase,2026-04-12 23:07:05,tags/blog,prod_8980,cat_clothing,twitter,mobile,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/3.0),112.236.32.74
evt_000028,cust_13978,sess_2693b07c,product_view,2026-04-14 02:38:21,explore,prod_6061,cat_electronics,google,tablet,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_8; rv:1.9.6.20) Gecko/6893-06-25 16:13:05 Firefox/3.8,210.52.207.26
evt_000029,cust_12359,sess_591f87f1,checkout_start,2026-04-21 20:04:28,explore,,,instagram,tablet,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_6) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/27.0.894.0 Safari/531.1",25.87.190.8
evt_000030,cust_29540,sess_3f85c65e,checkout_start,2026-04-18 16:50:45,explore,,,instagram,desktop,Mozilla/5.0 (Windows NT 5.2; fr-CA; rv:1.9.1.20) Gecko/5691-12-12 11:08:16 Firefox/7.0,169.222.251.190
evt_000031,cust_19609,sess_0e1757be,product_view,2026-03-28 16:44:41,explore,prod_8804,cat_beauty,instagram,desktop,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/61.0.802.0 Mobile/40K180 Safari/535.0",99.192.94.129
evt_000032,cust_60802,sess_477ea5f1,add_to_cart,2026-04-24 22:20:42,explore,prod_4791,cat_sports,facebook,mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; bem-ZM) AppleWebKit/532.19.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6532.19.5",173.191.81.66
evt_000033,cust_68546,sess_d532e032,purchase,2026-04-23 21:43:59,search/categories/tag,prod_5712,cat_sports,instagram,desktop,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.0),111.17.208.5
evt_000034,cust_31946,sess_9573a78c,product_view,2026-04-12 00:17:39,blog/explore/search,prod_8573,cat_beauty,email,desktop,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/43.0.834.0 Safari/534.0",173.185.129.234
evt_000035,cust_29225,sess_7d57be18,checkout_start,2026-04-10 18:59:04,tags/blog,,,facebook,tablet,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_6 rv:2.0; el-CY) AppleWebKit/534.38.7 (KHTML, like Gecko) Version/5.1 Safari/534.38.7",120.162.54.173
evt_000036,cust_71652,sess_bff6a110,add_to_cart,2026-04-11 23:13:10,tags/blog,prod_8839,cat_home,google,mobile,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/3436-05-21 09:21:49 Firefox/7.0,38.8.225.239
evt_000037,cust_32770,sess_2620e10a,product_view,2026-03-29 15:13:01,explore/list/app,prod_1962,cat_home,twitter,desktop,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.1),168.114.176.125
evt_000038,cust_88329,sess_5e486db6,purchase,2026-04-12 05:22:20,explore/list/app,prod_5411,cat_home,instagram,mobile,Opera/8.20.(X11; Linux i686; ug-CN) Presto/2.9.173 Version/11.00,140.88.174.238
evt_000039,cust_48186,sess_a8c7a5d0,checkout_start,2026-03-27 04:23:08,explore,,,email,desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_9 rv:4.0; tl-PH) AppleWebKit/534.10.2 (KHTML, like Gecko) Version/5.1 Safari/534.10.2",121.93.97.129
evt_000040,cust_83626,sess_18dc2dbf,remove_from_cart,2026-03-28 14:09:47,explore,,,twitter,desktop,Opera/9.49.(Windows CE; quz-PE) Presto/2.9.185 Version/10.00,158.184.255.112
evt_000041,cust_24014,sess_7adaeae3,page_view,2026-04-23 21:32:34,explore/list/app,,,email,desktop,Opera/9.21.(Windows CE; byn-ER) Presto/2.9.177 Version/10.00,31.116.85.64
evt_000042,cust_52462,sess_57399260,page_view,2026-04-14 03:55:18,explore/list/app,,,email,mobile,Mozilla/5.0 (Android 14; Mobile; rv:18.0) Gecko/18.0 Firefox/18.0,65.64.117.12
evt_000043,cust_57476,sess_764e9f31,checkout_start,2026-04-05 04:08:12,explore,,,google,desktop,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_0; rv:1.9.2.20) Gecko/7522-10-16 06:00:40 Firefox/3.6.9,99.28.51.137
evt_000044,cust_36480,sess_e5c7305a,checkout_start,2026-04-15 17:42:51,tags/blog,,,email,tablet,Opera/9.87.(Windows 95; wal-ET) Presto/2.9.180 Version/11.00,123.108.162.111
evt_000045,cust_94910,sess_abed8cc0,add_to_cart,2026-04-20 17:43:58,tags/blog,prod_7039,cat_electronics,twitter,desktop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/46.0.863.0 Safari/536.1",9.165.188.107
evt_000046,cust_75647,sess_b126763a,page_view,2026-04-06 07:45:25,app/tag/blog,,,facebook,mobile,"Mozilla/5.0 (Linux; Android 1.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/39.0.858.0 Safari/533.2",219.146.206.167
evt_000047,cust_79230,sess_4e6bde3e,purchase,2026-04-13 09:04:04,search/categories/tag,prod_3174,cat_electronics,google,tablet,Opera/9.14.(X11; Linux x86_64; si-LK) Presto/2.9.190 Version/10.00,20.230.35.248
evt_000048,cust_52352,sess_45971e00,checkout_start,2026-04-22 22:17:44,explore/list/app,,,email,mobile,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_1 rv:4.0; ber-DZ) AppleWebKit/532.24.1 (KHTML, like Gecko) Version/4.0 Safari/532.24.1",24.18.158.0
evt_000049,cust_74322,sess_674af6a9,purchase,2026-03-30 11:01:57,search/categories/tag,prod_8007,cat_clothing,facebook,tablet,"Mozilla/5.0 (iPad; CPU iPad OS 16_7_6 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/16.4u0769.0 Mobile/36Z236 Safari/533.2",68.181.56.101
evt_000050,cust_59334,sess_7b66ac79,product_view,2026-04-09 03:43:00,blog/explore/search,prod_1869,cat_home,email,tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/15.5h9522.0 Mobile/49S897 Safari/532.0",73.73.103.120
evt_000051,cust_39372,sess_70635454,remove_from_cart,2026-04-10 07:09:32,blog/explore/search,,,twitter,desktop,Opera/8.12.(Windows NT 5.0; fo-FO) Presto/2.9.182 Version/10.00,121.97.9.117
evt_000052,cust_97524,sess_fe5229fd,add_to_cart,2026-04-10 23:44:21,search/categories/tag,prod_4787,cat_clothing,email,mobile,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/5.1),187.187.222.235
evt_000053,cust_24465,sess_430d9138,product_view,2026-04-09 22:48:38,explore/list/app,prod_7692,cat_beauty,instagram,desktop,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.23.3 (KHTML, like Gecko) Version/5.0.2 Safari/534.23.3",151.172.6.39
evt_000054,cust_11482,sess_144d26f1,remove_from_cart,2026-04-02 21:52:04,blog/explore/search,,,google,desktop,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_7 rv:2.0; sl-SI) AppleWebKit/535.9.1 (KHTML, like Gecko) Version/4.1 Safari/535.9.1",32.98.11.78
evt_000055,cust_25628,sess_11e8a82e,page_view,2026-03-27 20:27:51,explore,,,twitter,desktop,Mozilla/5.0 (Android 2.2; Mobile; rv:37.0) Gecko/37.0 Firefox/37.0,101.39.187.1
evt_000056,cust_50804,sess_6fb899aa,add_to_cart,2026-04-11 07:31:17,blog/explore/search,prod_1580,cat_clothing,email,desktop,Opera/9.94.(Windows 98; os-RU) Presto/2.9.176 Version/11.00,47.22.145.154
evt_000057,cust_47096,sess_7ca0605a,page_view,2026-04-25 08:43:54,explore,,,google,tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/27.0.898.0 Mobile/13Q640 Safari/533.1",49.57.208.211
evt_000058,cust_16342,sess_c3a84925,page_view,2026-04-18 04:12:31,explore,,,instagram,desktop,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/5.1),181.88.88.89
evt_000059,cust_40578,sess_3a344250,product_view,2026-04-06 02:16:36,explore,prod_4705,cat_electronics,twitter,tablet,Mozilla/5.0 (Android 8.0.0; Mobile; rv:20.0) Gecko/20.0 Firefox/20.0,142.166.244.26
evt_000060,cust_38906,sess_f63ced23,product_view,2026-04-14 16:58:40,explore,prod_2931,cat_clothing,google,tablet,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/534.35.7 (KHTML, like Gecko) Version/5.1 Safari/534.35.7",133.205.184.73
evt_000061,cust_14428,sess_5124fd90,checkout_start,2026-03-27 13:33:28,explore/list/app,,,instagram,mobile,Opera/8.70.(Windows NT 4.0; hr-HR) Presto/2.9.169 Version/10.00,181.154.246.151
evt_000062,cust_94241,sess_5f31abc3,checkout_start,2026-04-06 13:32:43,blog/explore/search,,,instagram,tablet,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_6) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/14.0.813.0 Safari/531.1",13.193.124.9
evt_000063,cust_32586,sess_d59cb20b,checkout_start,2026-04-10 07:59:23,explore,,,google,mobile,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/4.1),125.104.85.61
evt_000064,cust_63917,sess_de59800d,add_to_cart,2026-03-28 08:41:33,search/categories/tag,prod_8468,cat_beauty,facebook,tablet,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_8 rv:6.0; be-BY) AppleWebKit/532.35.5 (KHTML, like Gecko) Version/5.0.2 Safari/532.35.5",164.130.75.159
evt_000065,cust_50643,sess_4eda04db,page_view,2026-04-01 21:47:38,app/tag/blog,,,instagram,mobile,"Mozilla/5.0 (Windows 98) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/54.0.882.0 Safari/535.2",8.243.242.162
evt_000066,cust_26224,sess_92375001,checkout_start,2026-03-29 05:57:05,explore/list/app,,,google,mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; fr-FR) AppleWebKit/535.39.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6535.39.7",178.165.10.34
evt_000067,cust_18440,sess_b405166c,product_view,2026-04-12 05:18:18,search/categories/tag,prod_9262,cat_home,twitter,tablet,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/5.0),112.115.145.73
evt_000068,cust_47080,sess_d5504755,add_to_cart,2026-04-05 21:15:29,tags/blog,prod_7178,cat_beauty,facebook,desktop,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_0 rv:5.0; kw-GB) AppleWebKit/534.25.3 (KHTML, like Gecko) Version/4.1 Safari/534.25.3",54.62.25.122
evt_000069,cust_92305,sess_b46a4bd4,product_view,2026-04-21 16:15:00,explore,prod_8162,cat_sports,facebook,mobile,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/32.0.844.0 Safari/535.1",149.233.2.246
evt_000070,cust_46638,sess_48cfe920,remove_from_cart,2026-04-01 15:25:12,app/tag/blog,,,facebook,tablet,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.1),197.43.88.10
evt_000071,cust_33440,sess_85f04747,remove_from_cart,2026-03-30 02:13:09,explore/list/app,,,facebook,tablet,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/40.0.871.0 Safari/535.2",109.204.144.113
evt_000072,cust_70087,sess_c3ca9362,product_view,2026-04-20 15:35:48,explore/list/app,prod_3967,cat_beauty,twitter,mobile,Opera/9.35.(Windows CE; nhn-MX) Presto/2.9.181 Version/12.00,223.238.114.9
evt_000073,cust_93620,sess_4d929a42,add_to_cart,2026-03-28 16:34:07,tags/blog,prod_5653,cat_home,twitter,mobile,Mozilla/5.0 (Android 2.3.1; Mobile; rv:37.0) Gecko/37.0 Firefox/37.0,137.178.65.34
evt_000074,cust_19075,sess_10ac7318,add_to_cart,2026-04-03 23:48:47,search/categories/tag,prod_8060,cat_beauty,facebook,desktop,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5; rv:1.9.6.20) Gecko/5295-06-06 14:32:25 Firefox/3.8,124.98.15.68
evt_000075,cust_67112,sess_7b7ee7f6,page_view,2026-03-28 22:04:14,app/tag/blog,,,twitter,tablet,Opera/9.87.(Windows NT 5.1; nr-ZA) Presto/2.9.179 Version/12.00,213.158.222.164
evt_000076,cust_14475,sess_d5fb6a17,page_view,2026-04-06 01:33:34,search/categories/tag,,,twitter,mobile,Opera/9.22.(X11; Linux i686; nhn-MX) Presto/2.9.169 Version/12.00,139.148.70.36
evt_000077,cust_45655,sess_e8fc5787,product_view,2026-03-26 19:38:29,explore,prod_7494,cat_clothing,twitter,desktop,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.27.2 (KHTML, like Gecko) Version/4.0.2 Safari/535.27.2",218.134.84.214
evt_000078,cust_75502,sess_32d9468f,remove_from_cart,2026-04-22 12:53:57,tags/blog,,,twitter,desktop,Opera/8.70.(X11; Linux i686; ca-FR) Presto/2.9.170 Version/10.00,136.227.199.70
evt_000079,cust_78508,sess_cdd0c372,product_view,2026-04-09 17:58:45,tags/blog,prod_1179,cat_sports,google,desktop,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/4.1),98.70.191.123
evt_000080,cust_43268,sess_d4fade71,remove_from_cart,2026-04-19 04:45:05,app/tag/blog,,,google,mobile,Opera/8.14.(Windows NT 5.01; am-ET) Presto/2.9.177 Version/12.00,161.42.176.33
evt_000081,cust_22573,sess_47882d8b,page_view,2026-04-12 12:36:12,blog/explore/search,,,google,desktop,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/5.1),64.39.97.190
evt_000082,cust_55664,sess_1998c2cc,add_to_cart,2026-04-17 17:08:58,tags/blog,prod_5419,cat_electronics,google,desktop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/54.0.881.0 Safari/536.1",203.235.165.173
evt_000083,cust_39651,sess_6e119aec,add_to_cart,2026-04-01 11:00:20,explore,prod_9754,cat_beauty,instagram,tablet,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/4.0),113.42.104.98
evt_000084,cust_37955,sess_e0a7b46f,checkout_start,2026-04-24 13:12:02,search/categories/tag,,,instagram,mobile,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_1 rv:5.0; bg-BG) AppleWebKit/533.31.5 (KHTML, like Gecko) Version/5.0.3 Safari/533.31.5",13.186.77.133
evt_000085,cust_75569,sess_98108396,add_to_cart,2026-04-16 02:07:50,search/categories/tag,prod_1614,cat_clothing,email,desktop,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/5.1),193.240.184.222
evt_000086,cust_44796,sess_2cf60d49,product_view,2026-04-23 04:46:56,search/categories/tag,prod_4426,cat_sports,google,mobile,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/13.0.878.0 Safari/532.2",129.226.144.238
evt_000087,cust_88098,sess_169a9195,remove_from_cart,2026-04-01 06:34:30,blog/explore/search,,,google,tablet,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/38.0.829.0 Safari/532.0",112.167.119.200
evt_000088,cust_61428,sess_4da5b36f,page_view,2026-04-13 10:03:09,tags/blog,,,facebook,tablet,Mozilla/5.0 (Windows NT 5.01; ku-TR; rv:1.9.0.20) Gecko/4232-06-06 20:36:38 Firefox/3.6.1,223.52.232.234
evt_000089,cust_10059,sess_5896b301,add_to_cart,2026-04-11 11:14:44,tags/blog,prod_5808,cat_sports,google,mobile,"Mozilla/5.0 (Linux; Android 12.1) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/41.0.845.0 Safari/536.1",9.199.176.64
evt_000090,cust_63147,sess_056b3c3d,remove_from_cart,2026-04-21 02:17:02,explore,,,twitter,tablet,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.1),164.119.222.176
evt_000091,cust_19115,sess_fb822e98,page_view,2026-04-04 11:32:00,explore,,,facebook,mobile,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/7110-05-25 10:53:22 Firefox/3.8,151.44.167.201
evt_000092,cust_70494,sess_d83a19e3,purchase,2026-04-16 06:24:30,explore/list/app,prod_5732,cat_sports,email,tablet,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/46.0.838.0 Safari/533.0",73.124.171.1
evt_000093,cust_17514,sess_3f26100c,page_view,2026-04-24 11:42:27,search/categories/tag,,,instagram,tablet,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/532.41.1 (KHTML, like Gecko) Version/4.0.4 Safari/532.41.1",212.244.249.61
evt_000094,cust_36012,sess_7cdba98c,remove_from_cart,2026-03-27 01:33:44,blog/explore/search,,,facebook,mobile,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/4.0),117.59.252.59
evt_000095,cust_86389,sess_0e7eb161,product_view,2026-04-20 18:28:15,explore,prod_1947,cat_clothing,email,mobile,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/3.1),160.136.4.55
evt_000096,cust_88997,sess_ea09e874,page_view,2026-04-22 03:52:52,app/tag/blog,,,instagram,mobile,Opera/9.91.(Windows NT 5.0; ka-GE) Presto/2.9.161 Version/10.00,48.112.130.247
evt_000097,cust_68587,sess_242851b7,page_view,2026-04-03 12:24:09,tags/blog,,,instagram,mobile,Opera/8.41.(Windows NT 5.0; kok-IN) Presto/2.9.182 Version/11.00,209.55.213.129
evt_000098,cust_54481,sess_9d53af34,purchase,2026-04-06 05:09:01,blog/explore/search,prod_9611,cat_electronics,email,tablet,Opera/8.60.(Windows NT 5.01; wal-ET) Presto/2.9.163 Version/12.00,111.1.233.159
evt_000099,cust_15834,sess_d8a15401,add_to_cart,2026-04-02 15:36:35,blog/explore/search,prod_7649,cat_clothing,twitter,desktop,Opera/9.48.(Windows NT 10.0; cy-GB) Presto/2.9.173 Version/11.00,156.24.138.150
evt_000100,cust_58444,sess_9bc9f9bf,page_view,2026-04-18 01:26:25,search/categories/tag,,,email,mobile,Opera/9.79.(Windows NT 5.1; tl-PH) Presto/2.9.180 Version/11.00,56.94.211.216
evt_000101,cust_93519,sess_40a8aa10,checkout_start,2026-04-13 05:10:29,tags/blog,,,email,desktop,Opera/9.62.(Windows NT 6.0; ko-KR) Presto/2.9.186 Version/11.00,68.39.82.218
evt_000102,cust_84842,sess_ddf5a648,add_to_cart,2026-04-19 07:12:48,tags/blog,prod_5413,cat_home,twitter,desktop,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/3.0),98.152.221.208
evt_000103,cust_20592,sess_950f2bf9,purchase,2026-04-18 08:24:01,search/categories/tag,prod_1930,cat_beauty,email,tablet,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_5 rv:6.0; crh-UA) AppleWebKit/531.36.6 (KHTML, like Gecko) Version/4.0.3 Safari/531.36.6",48.133.244.109
evt_000104,cust_42049,sess_33e99583,product_view,2026-04-25 11:35:35,explore,prod_9444,cat_sports,email,desktop,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; gl-ES) AppleWebKit/534.43.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6534.43.5",87.44.163.27
evt_000105,cust_20228,sess_21c51f8a,purchase,2026-04-25 04:00:59,blog/explore/search,prod_7467,cat_home,instagram,mobile,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/5.1),161.29.135.23
evt_000106,cust_52799,sess_94eccdc1,checkout_start,2026-04-17 23:26:24,app/tag/blog,,,google,desktop,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ckb-IQ) AppleWebKit/534.8.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6534.8.7",36.120.16.222
